# Example historical consumption data
# This is a minimal example - replace with real data from Pecan Street, UK-DALE, or similar

timestamp,consumption_kwh,temperature_c,humidity,device_phase
2023-01-01T00:00:00Z,0.8,15.2,65,regular
2023-01-01T01:00:00Z,0.7,14.8,67,regular
2023-01-01T02:00:00Z,0.7,14.5,68,regular
2023-01-01T03:00:00Z,0.8,14.2,69,regular
2023-01-01T04:00:00Z,0.9,14.0,70,regular
2023-01-01T05:00:00Z,1.2,14.1,69,regular
2023-01-01T06:00:00Z,1.8,14.5,68,regular
2023-01-01T07:00:00Z,2.5,15.2,66,regular
2023-01-01T08:00:00Z,2.2,16.0,64,regular
2023-01-01T09:00:00Z,1.8,17.5,62,regular
2023-01-01T10:00:00Z,1.5,18.8,60,regular
2023-01-01T11:00:00Z,1.3,19.5,58,regular
2023-01-01T12:00:00Z,1.2,20.0,57,regular
2023-01-01T13:00:00Z,1.3,20.2,56,regular
2023-01-01T14:00:00Z,1.4,20.0,57,regular
2023-01-01T15:00:00Z,1.6,19.5,58,regular
2023-01-01T16:00:00Z,2.1,18.8,60,regular
2023-01-01T17:00:00Z,2.8,18.0,62,regular
2023-01-01T18:00:00Z,3.2,17.2,64,regular
2023-01-01T19:00:00Z,3.0,16.5,66,regular
2023-01-01T20:00:00Z,2.5,16.0,67,regular
2023-01-01T21:00:00Z,2.0,15.5,68,regular
2023-01-01T22:00:00Z,1.5,15.2,69,regular
2023-01-01T23:00:00Z,1.0,15.0,70,regular
